c°;0;0
c+1;21,6;18
c+2;43,2;36
cis-2;70,8;59
cis-1;92,4;77
des+1;111,6;93
cis°;114;95
des+2;133,2;111
d-2;160,8;134
d-1;182,4;152
cisis-2;184,8;154
d°;204;170
eses+2;223,2;186
d+1;225,6;188
d+2;247,2;206
dis-2;274,8;229
es°;294;245
dis-1;296,4;247
es+1;315,6;263
es+2;337,2;281
e-2;364,8;304
e-1;386,4;322
e°;408;340
fes+2;427,2;356
e+1;429,6;358
f-1;476,4;397
eis-2;478,8;399
f°;498;415
eis-1;500,4;417
f+1;519,6;433
f+2;541,2;451
fis-2;568,8;474
fis-1;590,4;492
ges+1;609,6;508
fis°;612;510
ges+2;631,2;526
g-1;680,4;567
fisis-2;682,8;569
g°;702;585
g+1;723,6;603
g+2;745,2;621
gis-2;772,8;644
as°;792;660
gis-1;794,4;662
as+1;813,6;678
gis°;816;680
as+2;835,2;696
a-2;862,8;719
a-1;884,4;737
a°;906;755
bb+2;925,2;771
a+1;927,6;773
ais-2;976,8;814
b°;996;830
ais-1;998,4;832
b+1;1017,6;848
b+2;1039,2;866
h-2;1066,8;889
h-1;1088,4;907
ces+1;1107,6;923
h°;1110;925
ces+2;1129,2;941
h+1;1131,6;943
c-1;1178,4;982
his-2;1180,8;984
